Month,national parks: (United States)
2004-01,69
2004-02,77
2004-03,83
2004-04,91
2004-05,100
2004-06,95
2004-07,92
2004-08,71
2004-09,67
2004-10,63
2004-11,56
2004-12,51
2005-01,61
2005-02,68
2005-03,77
2005-04,86
2005-05,92
2005-06,82
2005-07,79
2005-08,63
2005-09,56
2005-10,58
2005-11,53
2005-12,41
2006-01,64
2006-02,59
2006-03,61
2006-04,63
2006-05,70
2006-06,68
2006-07,62
2006-08,58
2006-09,56
2006-10,41
2006-11,42
2006-12,38
2007-01,45
2007-02,48
2007-03,49
2007-04,53
2007-05,60
2007-06,55
2007-07,50
2007-08,45
2007-09,48
2007-10,41
2007-11,34
2007-12,32
2008-01,41
2008-02,38
2008-03,43
2008-04,50
2008-05,53
2008-06,46
2008-07,45
2008-08,38
2008-09,36
2008-10,37
2008-11,31
2008-12,28
2009-01,35
2009-02,38
2009-03,43
2009-04,44
2009-05,59
2009-06,58
2009-07,53
2009-08,49
2009-09,87
2009-10,82
2009-11,38
2009-12,36
2010-01,41
2010-02,46
2010-03,50
2010-04,54
2010-05,55
2010-06,47
2010-07,42
2010-08,38
2010-09,32
2010-10,28
2010-11,24
2010-12,24
2011-01,38
2011-02,38
2011-03,40
2011-04,46
2011-05,46
2011-06,44
2011-07,45
2011-08,35
2011-09,33
2011-10,29
2011-11,25
2011-12,23
2012-01,34
2012-02,34
2012-03,34
2012-04,42
2012-05,42
2012-06,40
2012-07,38
2012-08,34
2012-09,30
2012-10,26
2012-11,22
2012-12,23
2013-01,29
2013-02,30
2013-03,33
2013-04,36
2013-05,38
2013-06,37
2013-07,37
2013-08,33
2013-09,37
2013-10,64
2013-11,26
2013-12,23
2014-01,31
2014-02,31
2014-03,33
2014-04,40
2014-05,42
2014-06,39
2014-07,38
2014-08,34
2014-09,32
2014-10,30
2014-11,27
2014-12,25
2015-01,34
2015-02,35
2015-03,43
2015-04,46
2015-05,46
2015-06,43
2015-07,44
2015-08,41
2015-09,39
2015-10,35
2015-11,31
2015-12,31
2016-01,41
2016-02,45
2016-03,50
2016-04,65
2016-05,65
2016-06,61
2016-07,59
2016-08,75
2016-09,50
2016-10,45
2016-11,40
2016-12,38
2017-01,60
2017-02,52
2017-03,55
2017-04,62
2017-05,56
2017-06,58
2017-07,76
2017-08,76
2017-09,43
2017-10,42
2017-11,39
2017-12,45
2018-01,50
2018-02,48
2018-03,50
2018-04,55
2018-05,55
2018-06,55
2018-07,59
2018-08,49
2018-09,47
2018-10,42
2018-11,38
2018-12,46
2019-01,55
2019-02,46
2019-03,51
2019-04,55
2019-05,56
2019-06,58
2019-07,60
2019-08,58
2019-09,50
2019-10,44
2019-11,42
2019-12,44
2020-01,52
2020-02,50
2020-03,62
2020-04,65
2020-05,79
2020-06,74
2020-07,72
2020-08,64
2020-09,62
2020-10,48
2020-11,43
2020-12,44
2021-01,46
2021-02,48
2021-03,57
2021-04,68
2021-05,67
2021-06,69
2021-07,60
2021-08,54
2021-09,52
2021-10,44
2021-11,40
2021-12,41
2022-01,58
2022-02,59
2022-03,59
2022-04,80
2022-05,70
2022-06,67
2022-07,65
2022-08,65
2022-09,59
2022-10,51
2022-11,48
2022-12,49
2023-01,61
2023-02,57
2023-03,62
2023-04,66
2023-05,67
2023-06,76
2023-07,73
2023-08,63
2023-09,64
2023-10,54
2023-11,51
2023-12,55
2024-01,61
2024-02,60
2024-03,62
2024-04,67
2024-05,70
2024-06,72
2024-07,66
2024-08,75
2024-09,92
2024-10,65
2024-11,49
